bond_id,cfets,broker
220220.IB,202560520000.00 ,2961
220208.IB,20962500000,935
220025.IB,21004520000,439
220008.IB,9283480000,207
220410.IB,9437000000,151
220215.IB,7042500000,170
210203.IB,9390000000,229
220311.IB,6109900000,326
220210.IB,6110000000,202
220019.IB,3897200000,142
220205.IB,5361000000,117
230203.IB,4330000000,144
220017.IB,4855000000,144
220203.IB,5077700000,155
220028.IB,6287150000,82
220026.IB,4031130000,96
220016.IB,3805810000,104
190203.IB,5010000000,100
230002.IB,4411900000,144
220003.IB,1836460000,45
220012.IB,2749080000,49
220010.IB,4130250000,79
210202.IB,3960000000,56
220404.IB,1742000000,59
200203.IB,2419000000,54
220411.IB,4820000000,43
210014.IB,1632250000,22
220024.IB,1651830000,124
200212.IB,1830000000,61
190204.IB,1800000000,43
220022.IB,2295290000,48
220407.IB,1740000000,69
190208.IB,1310000000,29
210005.IB,2482120000,75
220216.IB,2620000000,34
220406.IB,1725000000,27
220023.IB,3693000000,12
220027.IB,1685490000,48
220004.IB,2568790000,7
220322.IB,1390000000,48
210406.IB,1440000000,39
210207.IB,2600000000,56
220206.IB,910000000,49
220202.IB,938000000,30
180205.IB,1110000000,5
190409.IB,1230000000,14
210218.IB,1030000000,37
092218005.IB,1810000000,67
200313.IB,2380000000,34
210205.IB,1620000000,13
220211.IB,1059000000,70
200006.IB,685120000,36
220308.IB,1000000000,14
170215.IB,1550000000,29
220315.IB,1640000000,56
180204.IB,540000000,1
200014.IB,6230000000,29
210215.IB,811960000,45
210208.IB,920000000,48
190406.IB,1348300000,16
220304.IB,1340000000,37
092218001.IB,720000000,39
092202001.IB,600000000,10
210210.IB,3230000000,79
190215.IB,1110000000,9
220006.IB,730770000,10
200215.IB,591700000,26
200003.IB,13360000000,26
230202.IB,670000000,49
200207.IB,730000000,42
210303.IB,1440000000,16
220021.IB,731010000,15
220412.IB,1330000000,36
220401.IB,1370000000,40
210011.IB,825800000,23
180211.IB,770000000,60
200202.IB,1138100000,26
230001.IB,3840000000,48
180023.IB,2207860000,6
160210.IB,2040000000,31
200016.IB,1186500000,14
220402.IB,255370000,4
150210.IB,1200000000,24
180210.IB,594400000,22
190305.IB,1800000000,24
220013.IB,730000000,31
200410.IB,1030000000,32
210012.IB,889730000,21
220005.IB,1096000000,19
210009.IB,694640000,24
200017.IB,509800000,3
229945.IB,950000000,39
200305.IB,571000000,22
190006.IB,1435700000,6
210312.IB,770000000,17
160205.IB,173000000,12
220020.IB,2530000000,24
200404.IB,957000000,11
200220.IB,311010000,0
150218.IB,880000000,29
220011.IB,215880000,13
190205.IB,1460000000,31
220408.IB,1280000000,42
092218004.IB,260000000,12
210213.IB,1480000000,12
210402.IB,740000000,39
200307.IB,343500000,7
200204.IB,320000000,8
180322.IB,220000000,0
210007.IB,792500000,18
200303.IB,1250000000,33
220306.IB,400000000,23
220310.IB,220000000,6
170210.IB,350000000,7
220207.IB,680000000,26
220303.IB,700000000,12
180024.IB,511000000,6
160207.IB,660000000,27
200013.IB,5012670000,11
190210.IB,370000000,5
200009.IB,4150000000,8
210305.IB,303100000,24
220214.IB,690000000,9
210008.IB,1360000000,3
200407.IB,1080000000,26
239903.IB,160000000,23
210322.IB,520000000,23
220002.IB,260100000,15
170005.IB,80000000,7
220009.IB,93000000,0
160408.IB,180000000,5
210017.IB,428150000,7
229968.IB,690000000,4
200208.IB,440000000,22
150308.IB,2750000000,17
160418.IB,210000000,15
160405.IB,210000000,10
160213.IB,340000000,12
190015.IB,350100000,11
190016.IB,130000000,1
190311.IB,130000000,3
190401.IB,500000000,0
190404.IB,80000000,1
200408.IB,120000000,3
200219.IB,170000000,1
200012.IB,609800000,13
200007.IB,281000000,0
2000004.IB,250000000,9
210409.IB,450000000,18
210316.IB,250000000,0
210310.IB,170000000,2
210220.IB,210000000,0
210204.IB,40000000,8
210015.IB,780000000,9
210004.IB,490100000,3
180206.IB,120000000,7
180217.IB,180000000,4
180310.IB,107000000,2
180321.IB,400000000,1
229974.IB,660000000,6
220204.IB,30000000,0
220302.IB,520000000,9
220405.IB,350000000,0
220014.IB,70000000,0
220007.IB,201930000,5
239904.IB,460000000,1
2303663.IB,380000000,10
190013.IB,420000000,6
190209.IB,150000000,13
190010.IB,200590000,2
190007.IB,420000000,7
160014.IB,1100000000,0
130011.IB,1370000000,0
150319.IB,40000000,7
180027.IB,87370000,3
180028.IB,470000000,10
180408.IB,450000000,9
210313.IB,316000000,3
220018.IB,220400000,6
220217.IB,160000000,7
229957.IB,350000000,4
229976.IB,550000000,13
229966.IB,90000000,4
220305.IB,480000000,1
220403.IB,176500000,4
220313.IB,80000000,6
220312.IB,140000000,28
210403.IB,180000000,10
200005.IB,256340000,3
092218003.IB,539000000,5
200004.IB,302200000,19
092118004.IB,155000000,0
200008.IB,269000000,18
200315.IB,200000000,7
200205.IB,250000000,6
200405.IB,40000000,5
092118003.IB,103000000,4
092118002.IB,207000000,3
190310.IB,550500000,2
2000003.IB,50000000,3
229975.IB,100000000,3
229971.IB,550000000,7
239901.IB,240000000,4
229953.IB,100000000,2
200402.IB,112000000,13
200210.IB,130000000,7
200310.IB,548000000,6
160017.IB,10000000,0
160303.IB,10000000,6
160310.IB,210000000,3
210002.IB,59500000,3
160023.IB,200000000,9
150314.IB,50000000,9
170303.IB,70000000,1
170404.IB,30000000,0
210430.IB,120000000,0
210408.IB,60000000,10
170020.IB,60100000,2
180017.IB,30000000,0
180011.IB,200000000,1
180009.IB,100000000,3
180005.IB,100000000,1
180004.IB,280000000,0
130231.IB,20000000,2
220332.IB,50000000,2
220301.IB,190000000,7
220218.IB,40000000,4
2202001QF.IB,100000000,3
130018.IB,400000000,0
092218002.IB,10000000,0
092202005.IB,900000000,3
190408.IB,50000000,9
180411.IB,23500000,7
229967.IB,20000000,6
190004.IB,60000000,5
150405.IB,50000000,4
200209.IB,171000000,4
170015.IB,20000000,3
160407.IB,20000000,3
230213.IB,50000000,3
239902.IB,1400000000,2
2303661.IB,30000000,2
180309.IB,10000000,2
092118101.IB,30000000,2
2102001QF.IB,100000000,1
210410.IB,10000000,0
220015.IB,1000000,0
210003.IB,10000000,0
170208.IB,28500000,0
180413.IB,128500000,0
092018002.IB,30000000,0
2202002QF.IB,50000000,0
160019.IB,10000000,0
229970.IB,50000000,0
140205.IB,1000000000,0
